X,Y,OBJECTID,STOPID,STOPCODE,STOPNAME,STOPDESC,LOCATIONTYPE,STOPLAT,STOPLON,PARENTSTATION,MODE
1757678.8809,5920941.3658,1,9001-a01efce1,9001,Waitemata Train Station 1,,Stop,-36.84429,174.76847,133-08da14b5,Train
1757678.8809,5920941.3658,2,9002-79ba2179,9002,Waitemata Train Station 2,,Stop,-36.84429,174.76847,133-08da14b5,Train
1757678.8809,5920941.3658,3,9003-a3bb36e8,9003,Waitemata Train Station 3,,Stop,-36.84429,174.76847,133-08da14b5,Train
1757678.8809,5920941.3658,4,9004-76ff727f,9004,Waitemata Train Station 4,,Stop,-36.84429,174.76847,133-08da14b5,Train
1799469.9563,5814933.1062,5,9011-cf8cc006,9011,Hamilton Frankton Train Station 1,,Stop,-37.79121,175.26538,141-e3c20ef1,Train
1796470.3687,5819689.7168,6,9021-9fccfa2b,9021,Hamilton Rotokauri Train Station 1,,Stop,-37.74902,175.23005,142-1587ee51,Train
1796487.0043,5819684.8789,7,9022-94c9d774,9022,Hamilton Rotokauri Train Station 2,,Stop,-37.74906,175.23024,142-1587ee51,Train
1790761.2218,5841046.2369,8,9031-740bc002,9031,Huntly Train Station 1,,Stop,-37.55787,175.15971,143-7bbaa65d,Train
1758550.1176,5918102.863,9,9100-2034265b,9100,Newmarket Train Station 1,,Stop,-36.86972,174.77883,115-96c3c7be,Train
1758551.009,5918102.8464,10,9103-0e65d9b8,9103,Newmarket Train Station 2,,Stop,-36.86972,174.77884,115-96c3c7be,Train
1758551.9004,5918102.8298,11,9104-87b89d4a,9104,Newmarket Train Station 4,,Stop,-36.86972,174.77885,115-96c3c7be,Train
1758452.736,5919769.4404,12,9105-5aefbb78,9105,Parnell Train Station 1,,Stop,-36.85472,174.77739,140-4f49e4da,Train
1758459.9099,5919771.5266,13,9106-cca709e4,9106,Parnell Train Station 2,,Stop,-36.8547,174.77747,140-4f49e4da,Train
1759113.3511,5916798.2647,14,9200-215e746d,9200,Remuera Train Station 1,,Stop,-36.88138,174.78542,114-c06f0e9c,Train
1759115.1544,5916799.3408,15,9201-2c983f68,9201,Remuera Train Station 2,,Stop,-36.88137,174.78544,114-c06f0e9c,Train
1760164.6944,5915860.6781,16,9202-76db2801,9202,Greenlane Train Station 1,,Stop,-36.88965,174.79741,113-5a21d646,Train
1760169.2129,5915863.9226,17,9203-7e1926ce,9203,Greenlane Train Station 2,,Stop,-36.88962,174.79746,113-5a21d646,Train
1761099.7004,5914864.1112,18,9204-3497c885,9204,Ellerslie Train Station 1,,Stop,-36.89847,174.80811,112-15fd1147,Train
1761108.6531,5914866.1613,19,9205-388a750f,9205,Ellerslie Train Station 2,,Stop,-36.89845,174.80821,112-15fd1147,Train
1761751.48,5913562.06,20,9206-a65e85af,9206,Penrose Train Station 1,,Stop,-36.91009,174.8157,102-a4eddeea,Train
1761754.1951,5913564.2281,21,9207-4bf0e6fc,9207,Penrose Train Station 2,,Stop,-36.91007,174.81573,102-a4eddeea,Train
1763233.4185,5909471.5256,22,9209-8c9ed839,9209,Otahuhu Train Station 3,,Stop,-36.94669,174.83321,101-9ef61446,Train
1763233.4185,5909471.5256,23,9210-25fbbf74,9210,Otahuhu Train Station 1,,Stop,-36.94669,174.83321,101-9ef61446,Train
1763233.4185,5909471.5256,24,9211-b292c480,9211,Otahuhu Train Station 2,,Stop,-36.94669,174.83321,101-9ef61446,Train
1763710.447,5907647.6531,25,9212-eb593664,9212,Middlemore Train Station 1,,Stop,-36.96304,174.83896,109-270a7792,Train
1763717.6766,5907653.0631,26,9213-2fb297e5,9213,Middlemore Train Station 2,,Stop,-36.96299,174.83904,109-270a7792,Train
1764595.0899,5906007.8448,27,9214-6ac64c01,9214,Papatoetoe Train Station 1,,Stop,-36.97766,174.84925,100-56c57897,Train
1764609.4616,5906014.2252,28,9215-e1c858e4,9215,Papatoetoe Train Station 2,,Stop,-36.9776,174.84941,100-56c57897,Train
1765176.9126,5904654.6403,29,9216-200a650e,9216,Puhinui Train Station 1,,Stop,-36.98975,174.85608,108-5ab242b5,Train
1765182.2959,5904656.7552,30,9217-28451e3b,9217,Puhinui Train Station 2,,Stop,-36.98973,174.85614,108-5ab242b5,Train
1766779.6241,5901991.5991,31,9220-8e46eb03,9220,Homai Train Station 1,,Stop,-37.01346,174.87467,99-68379945,Train
1766779.6241,5901991.5991,32,9221-1f071411,9221,Homai Train Station 2,,Stop,-37.01346,174.87467,99-68379945,Train
1768670.887,5900866.3756,33,9222-11619061,9222,Manurewa Train Station 1,,Stop,-37.02326,174.89617,98-0d95d0e0,Train
1768672.6883,5900867.4497,34,9223-b34cb60a,9223,Manurewa Train Station 2,,Stop,-37.02325,174.89619,98-0d95d0e0,Train
1769535.7847,5899970.0068,35,9224-94ced837,9224,Te Mahia Train Station 1,,Stop,-37.03118,174.90609,107-90904690,Train
1769537.6083,5899972.1901,36,9225-e65a3335,9225,Te Mahia Train Station 2,,Stop,-37.03116,174.90611,107-90904690,Train
1770701.941,5898843.2493,37,9226-a1e84e0d,9226,Takaanini Train Station 1,,Stop,-37.04112,174.91945,106-67be4ce1,Train
1770712.8157,5898853.0195,38,9227-c9ab5758,9227,Takaanini Train Station 2,,Stop,-37.04103,174.91957,106-67be4ce1,Train
1773020.5043,5896224.2907,39,9228-ba7409d9,9228,Papakura Train Station 1,,Stop,-37.06429,174.94611,97-cf37d972,Train
1773024.1064,5896226.4369,40,9229-e27fe938,9229,Papakura Train Station 2,,Stop,-37.06427,174.94615,97-cf37d972,Train
1773018.7033,5896223.2176,41,9230-b7b695a0,9230,Papakura Train Station 3,,Stop,-37.0643,174.94609,97-cf37d972,Train
1769512.574,5880864.5316,42,9232-aa69f681,9232,Pukekohe Train Station 1,,Stop,-37.20331,174.91015,134-b31c4580,Train
1769512.574,5880864.5316,43,9233-0f5634a3,9233,Pukekohe Train Station 2,,Stop,-37.20331,174.91015,134-b31c4580,Train
1769555.6149,5880841.4637,44,9234-44ebb3c5,9234,Pukekohe Train Station 3,,Stop,-37.20351,174.91064,134-b31c4580,Train
1769555.6149,5880841.4637,45,9235-c5795c6a,9235,Pukekohe Train Station 4,,Stop,-37.20351,174.91064,134-b31c4580,Train
1758639.3877,5920452.9562,46,9241-76884964,9241,The Strand Train Station 1,,Stop,-36.84853,174.77934,135-b78afdd1,Train
1758638.7028,5920464.0674,47,9242-91d8ef29,9242,The Strand Train Station 2,,Stop,-36.84843,174.77933,135-b78afdd1,Train
1757757.205,5918573.7447,48,9300-21d20dbf,9300,Grafton Train Station 1,,Stop,-36.86561,174.76984,277-dfb27cf9,Train
1757758.0553,5918571.5093,49,9301-26ff2718,9301,Grafton Train Station 2,,Stop,-36.86563,174.76985,277-dfb27cf9,Train
1755486.9947,5917850.8579,50,9304-dcb2ed75,9304,Kingsland Train Station 1,,Stop,-36.8725,174.74453,122-34ecc043,Train
1755487.8455,5917848.6227,51,9305-ef07ca76,9305,Kingsland Train Station 2,,Stop,-36.87252,174.74454,122-34ecc043,Train
1754651.2454,5917590.8554,52,9306-949f35aa,9306,Morningside Train Station 1,,Stop,-36.87498,174.73521,104-ff3dff29,Train
1754652.9474,5917586.3852,53,9307-e1a4b463,9307,Morningside Train Station 2,,Stop,-36.87502,174.73523,104-ff3dff29,Train
1753330.2634,5917316.2275,54,9308-490884bd,9308,Baldwin Ave Train Station 1,,Stop,-36.87767,174.72045,119-de6ec4e8,Train
1753331.986,5917312.867,55,9309-e59de511,9309,Baldwin Ave Train Station 2,,Stop,-36.8777,174.72047,119-de6ec4e8,Train
1752748.3599,5916538.7327,56,9310-5e7a27e9,9310,Mt Albert Train Station 1,,Stop,-36.88477,174.71408,120-848dea07,Train
1752753.6674,5916536.4178,57,9311-a4fe6bf8,9311,Mt Albert Train Station 2,,Stop,-36.88479,174.71414,120-848dea07,Train
1751388.8848,5915190.2179,58,9312-e5a780ea,9312,Avondale Train Station 1,,Stop,-36.89714,174.6991,105-474861ff,Train
1751393.3401,5915190.1385,59,9313-4b1bb1e7,9313,Avondale Train Station 2,,Stop,-36.89714,174.69915,105-474861ff,Train
1750023.855,5913856.0296,60,9314-15d82116,9314,New Lynn Train Station 1,,Stop,-36.90938,174.68405,129-f22f268a,Train
1750023.855,5913856.0296,61,9315-bf1df522,9315,New Lynn Train Station 2,,Stop,-36.90938,174.68405,129-f22f268a,Train
1748507.6953,5913740.6119,62,9316-2ac0d8cb,9316,Fruitvale Train Station 1,,Stop,-36.91066,174.66706,123-02f15431,Train
1748506.7657,5913738.4086,63,9317-5128fb2f,9317,Fruitvale Train Station 2,,Stop,-36.91068,174.66705,123-02f15431,Train
1747270.9772,5913805.4198,64,9318-c8c09d1b,9318,Glen Eden Train Station 1,,Stop,-36.91027,174.65317,124-72ac2d54,Train
1747270.9772,5913805.4198,65,9319-5cb53296,9319,Glen Eden Train Station 2,,Stop,-36.91027,174.65317,124-72ac2d54,Train
1745410.3779,5915325.662,66,9320-36be46d2,9320,Sunnyvale Train Station 1,,Stop,-36.89686,174.632,121-5413495e,Train
1745397.8841,5915324.7659,67,9321-50b6fd55,9321,Sunnyvale Train Station 2,,Stop,-36.89687,174.63186,121-5413495e,Train
1745343.4008,5917091.3299,68,9322-6bc7f9b8,9322,Henderson Train Station 1,,Stop,-36.88096,174.63091,125-0874efac,Train
1745343.4008,5917091.3299,69,9323-1ff7566d,9323,Henderson Train Station 2,,Stop,-36.88096,174.63091,125-0874efac,Train
1744458.2617,5917938.7251,70,9324-c21175ab,9324,Sturges Rd Train Station 1,,Stop,-36.87346,174.62082,126-c84c70ac,Train
1744456.366,5917932.0988,71,9325-6568c76a,9325,Sturges Rd Train Station 2,,Stop,-36.87352,174.6208,126-c84c70ac,Train
1742909.6248,5918578.5671,72,9326-4c79ef6c,9326,Ranui Train Station 1,,Stop,-36.86793,174.60333,128-ae9d93ee,Train
1742909.6248,5918578.5671,73,9327-c03ec883,9327,Ranui Train Station 2,,Stop,-36.86793,174.60333,128-ae9d93ee,Train
1740503.3918,5918812.8388,74,9328-f6f84eac,9328,Swanson Train Station 1,,Stop,-36.86618,174.5763,127-2affe079,Train
1740503.3918,5918812.8388,75,9329-e7f6fe12,9329,Swanson Train Station 2,,Stop,-36.86618,174.5763,127-2affe079,Train
1761299.3919,5918861.3887,76,9400-7b603e75,9400,Orakei Train Station 1,,Stop,-36.86242,174.8095,116-214837ca,Train
1761305.8846,5918874.584,77,9401-f4f8af3d,9401,Orakei Train Station 2,,Stop,-36.8623,174.80957,116-214837ca,Train
1762294.0849,5918410.74,78,9402-5ba566c5,9402,Meadowbank Train Station 1,,Stop,-36.86631,174.82075,117-197f7500,Train
1762303.084,5918415.0078,79,9403-fe2811a0,9403,Meadowbank Train Station 2,,Stop,-36.86627,174.82085,117-197f7500,Train
1765241.9219,5916967.7545,80,9404-50cdc941,9404,Glen Innes Train Station 1,,Stop,-36.8788,174.85412,103-be3d2b7e,Train
1765241.9219,5916967.7545,81,9405-8931d7d6,9405,Glen Innes Train Station 2,,Stop,-36.8788,174.85412,103-be3d2b7e,Train
1764804.4937,5914870.7774,82,9406-ffd612d1,9406,Panmure Train Station 2,,Stop,-36.89777,174.84967,130-782f74ad,Train
1764804.4937,5914870.7774,83,9407-ebcb6116,9407,Panmure Train Station 1,,Stop,-36.89777,174.84967,130-782f74ad,Train
1764138.3626,5913012.3919,84,9408-f63dc486,9408,Sylvia Park Train Station 1,,Stop,-36.91463,174.8426,244-2141db40,Train
1764138.3626,5913012.3919,85,9409-0339c98c,9409,Sylvia Park Train Station 2,,Stop,-36.91463,174.8426,244-2141db40,Train
1761723.7634,5913463.8088,86,9500-e8f9ea3c,9500,Penrose Train Station 3,,Stop,-36.91098,174.81541,102-a4eddeea,Train
1760453.7327,5912472.3616,87,9501-ce4fa451,9501,Te Papapa Train Station 1,,Stop,-36.92013,174.80137,606-fecc85f6,Train
1759144.8814,5911913.2019,88,9503-bcf68071,9503,Onehunga Train Station,,Stop,-36.92539,174.7868,605-b9605c8e,Train
1767064.49,5904159.2257,89,9507-9d39710f,9507,Manukau Train Station 1,,Stop,-36.99388,174.87739,9218-cd379d59,Train
1767064.49,5904159.2257,90,9508-2ace599e,9508,Manukau Train Station 2,,Stop,-36.99388,174.87739,9218-cd379d59,Train
